"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"A","Agilent Technologies, Inc.","76.15","0.9","23,565","22.5","19.4","1.12"
"AAL","American Airlines Group, Inc.","31.36","1.6","13,737","8.8","14.1","1.48"
"AAP","Advance Auto Parts, Inc.","166.41","0.1","11,879","27.6","4.0","0.65"
"AAPL","Apple, Inc.","249.05","1.2","1,125,501","21.1","25.4","1.54"
"ABBV","AbbVie, Inc.","78.33","5.5","115,809","28.7","157.0","0.84"
"ABC","AmerisourceBergen Corp.","87.39","1.8","18,205","19.4","35.5","0.76"
"ABMD","ABIOMED, Inc.","183.91","0.0","8,345","32.2","0.0","1.57"
"ABT","Abbott Laboratories","82.66","1.5","146,093","","","1.07"
"ACN","Accenture Plc","182.87","1.2","116,513","24.4","30.2","0.99"
"ADBE","Adobe, Inc.","271.35","0.0","131,354","47.6","0.0","1.51"
"ADI","Analog Devices, Inc.","108.83","1.9","40,202","26.6","51.3","1.32"
"ADM","Archer-Daniels-Midland Co.","41.30","3.4","23,003","17.6","59.2","0.80"
"ADP","Automatic Data Processing, Inc.","162.48","1.9","70,467","30.8","59.8","1.04"
"ADS","Alliance Data Systems Corp.","106.79","2.9","5,456","12.4","36.0","1.25"
"ADSK","Autodesk, Inc.","146.99","0.0","32,277","569.7","0.0","1.56"
"AEE","Ameren Corp.","75.84","3.2","18,641","23.4","73.8","0.27"
"AEP","American Electric Power Co., Inc.","93.37","3.6","46,120","21.6","78.3","0.19"
"AES","The AES Corp.","16.98","4.0","11,272","28.4","113.1","0.67"
"AFL","Aflac, Inc.","53.51","2.5","39,336","13.1","32.9","0.71"
"AGN","Allergan Plc","174.22","2.1","57,161","-6.8","-14.4","0.67"
"AIG","American International Group, Inc.","52.55","2.4","45,713","-525.5","-1,280.0","0.93"
"AIV","Apartment Investment & Management Co.","54.03","5.9","8,044","23.7","139.2","0.44"
"AIZ","Assurant, Inc.","125.31","1.9","7,660","21.3","40.7","0.77"
"AJG","Arthur J. Gallagher & Co.","89.70","2.4","16,690","24.1","57.3","0.75"
"AKAM","Akamai Technologies, Inc.","89.48","0.0","14,762","32.1","0.0","1.17"
"ALB","Albemarle Corp.","63.74","2.3","6,755","12.4","27.9","1.43"
"ALGN","Align Technology, Inc.","250.42","0.0","20,001","47.7","0.0","1.68"
"ALK","Alaska Air Group, Inc.","70.08","2.0","8,639","14.1","27.7","0.94"
"ALL","The Allstate Corp.","106.60","1.8","35,091","13.7","25.3","0.70"
"ALLE","Allegion Plc","115.32","0.9","10,715","23.9","21.1","0.88"
"ALXN","Alexion Pharmaceuticals, Inc.","106.56","0.0","23,580","16.2","0.0","1.31"
"AMAT","Applied Materials, Inc.","56.95","1.8","52,607","18.8","33.9","1.54"
"AMCR","Amcor Plc","9.58","1.3","15,471","16.7","21.0","-0.30"
"AMD","Advanced Micro Devices, Inc.","33.69","0.0","36,572","179.6","0.0","2.44"
"AME","AMETEK, Inc.","90.40","0.6","20,642","25.1","15.6","1.11"
"AMG","Affiliated Managers Group, Inc.","81.50","3.1","4,127","-27.8","-86.8","1.31"
"AMGN","Amgen, Inc.","205.01","3.5","122,944","16.1","56.0","0.76"
"AMP","Ameriprise Financial, Inc.","152.81","3.1","19,956","10.6","32.8","1.46"
"AMT","American Tower Corp.","210.75","1.7","93,295","63.3","108.4","0.26"
"AMZN","Amazon.com, Inc.","1,777.08","0.0","881,070","77.0","0.0","1.58"
"ANET","Arista Networks, Inc.","248.90","0.0","19,076","25.9","0.0","1.59"
"ANSS","ANSYS, Inc.","223.63","0.0","18,807","42.8","0.0","1.37"
"ANTM","Anthem, Inc.","267.67","1.5","67,871","16.0","23.6","0.85"
"AON","Aon Plc","187.79","1.1","44,288","31.7","35.7","0.78"
"AOS","A. O. Smith Corp.","51.35","2.2","7,104","20.5","44.6","0.94"
"APA","Apache Corp.","21.73","4.6","8,169","-11.6","-53.5","1.37"
"APD","Air Products & Chemicals, Inc.","211.48","2.2","46,600","27.2","59.0","0.82"
"APH","Amphenol Corp.","101.19","0.9","30,098","25.7","23.8","1.12"
"APTV","Aptiv Plc","90.11","1.2","23,085","23.9","29.2","1.24"
"ARE","Alexandria Real Estate Equities, Inc.","158.88","2.5","18,111","150.1","372.2","0.57"
"ARNC","Arconic, Inc.","27.66","0.7","12,175","30.6","19.9","1.14"
"ATO","Atmos Energy Corp.","110.94","1.9","13,113","26.2","49.6","0.30"
"ATVI","Activision Blizzard, Inc.","54.56","0.7","41,848","24.7","16.8","1.19"
"AVB","AvalonBay Communities, Inc.","216.99","2.8","30,304","32.8","91.2","0.41"
"AVGO","Broadcom, Inc.","291.55","3.6","115,649","-72.7","-264.3","1.29"
"AVY","Avery Dennison Corp.","127.49","2.2","10,733","","","0.96"
"AWK","American Water Works Co., Inc.","119.56","1.6","21,598","37.2","59.4","0.25"
"AXP","American Express Co.","118.58","1.3","97,030","14.3","19.3","1.06"
"AZO","AutoZone, Inc.","1,149.77","0.0","27,638","17.7","0.0","0.42"
"BA","The Boeing Co.","340.88","2.9","191,844","51.3","149.4","1.14"
"BAC","Bank of America Corp.","31.84","2.5","289,083","11.6","29.6","1.15"
"BAX","Baxter International, Inc.","77.85","1.1","39,746","25.7","27.1","0.86"
"BBT","BB&T Corp.","54.00","3.9","41,380","13.4","52.6","0.84"
"BBY","Best Buy Co., Inc.","74.37","2.6","19,601","13.2","34.7","1.28"
"BDX","Becton, Dickinson & Co.","246.08","1.3","66,430","84.6","105.8","0.96"
"BEN","Franklin Resources, Inc.","28.41","3.7","14,309","12.0","44.1","1.05"
"BF.B","Brown-Forman Corp.","63.40","1.0","30,275","36.9","38.7","0.73"
"BHGE","Baker Hughes, a GE Co.","21.77","3.3","22,348","62.2","205.7","1.03"
"BIIB","Biogen, Inc.","295.54","0.0","53,327","10.5","0.0","0.77"
"BK","The Bank of New York Mellon Corp.","46.89","3.1","43,241","12.1","37.7","0.78"
"BKNG","Booking Holdings, Inc.","2,057.05","0.0","87,449","22.6","0.0","1.13"
"BLK","BlackRock, Inc.","466.56","2.8","72,397","17.8","49.8","1.21"
"BLL","Ball Corp.","71.34","0.9","23,685","45.7","41.7","0.72"
"BMY","Bristol-Myers Squibb Co.","55.59","3.0","90,932","14.6","43.0","0.83"
"BR","Broadridge Financial Solutions, Inc.","124.75","1.6","14,278","30.0","47.9","0.89"
"BRK.B","Berkshire Hathaway, Inc.","212.86","0.0","521,785","18.1","0.0","0.91"
"BSX","Boston Scientific Corp.","41.57","0.0","57,905","52.6","0.0","1.23"
"BWA","BorgWarner, Inc.","40.41","1.7","8,345","10.9","18.4","1.29"
"BXP","Boston Properties, Inc.","132.68","2.9","20,508","38.8","111.1","0.66"
"C","Citigroup, Inc.","73.59","3.2","160,661","9.7","31.3","1.30"
"CAG","Conagra Brands, Inc.","27.30","3.1","13,285","19.1","59.5","0.80"
"CAH","Cardinal Health, Inc.","50.28","3.8","14,702","11.1","42.3","0.89"
"CAT","Caterpillar, Inc.","140.06","2.7","78,796","13.2","35.6","1.41"
"CB","Chubb Ltd.","148.24","2.0","67,560","18.0","36.0","0.64"
"CBOE","Cboe Global Markets, Inc.","113.22","1.1","12,644","31.2","35.5","0.31"
"CBRE","CBRE Group, Inc.","53.25","0.0","17,909","16.8","0.0","1.20"
"CBS","CBS Corp.","35.85","2.0","13,431","4.4","8.8","0.99"
"CCI","Crown Castle International Corp.","139.40","4.1","57,990","69.9","285.7","0.40"
"CCL","Carnival Corp.","44.18","5.7","23,276","10.0","56.4","1.03"
"CDNS","Cadence Design Systems, Inc.","65.88","0.0","18,485","42.1","0.0","1.37"
"CE","Celanese Corp.","121.56","2.0","14,693","16.9","33.3","1.14"
"CELG","Celgene Corp.","105.70","0.0","74,913","14.1","0.0","0.64"
"CERN","Cerner Corp.","67.00","0.5","21,044","42.7","22.9","0.86"
"CF","CF Industries Holdings, Inc.","45.83","3.3","10,005","22.6","74.1","1.21"
"CFG","Citizens Financial Group, Inc. (Rhode Island)","36.17","7.5","16,056","9.6","72.3","1.08"
"CHD","Church & Dwight Co., Inc.","74.60","1.2","18,433","30.4","36.7","0.33"
"CHRW","C.H. Robinson Worldwide, Inc.","90.33","2.2","12,228","18.0","39.7","0.81"
"CHTR","Charter Communications, Inc.","467.09","0.0","100,321","83.1","0.0","0.84"
"CI","Cigna Corp.","174.79","0.0","66,002","15.8","0.4","0.91"
"CINF","Cincinnati Financial Corp.","110.73","2.0","18,090","19.7","39.3","0.72"
"CL","Colgate-Palmolive Co.","67.35","2.5","57,786","25.6","65.0","0.56"
"CLX","The Clorox Co.","150.77","5.4","18,920","23.5","127.3","0.42"
"CMA","Comerica, Inc.","66.44","3.9","9,574","8.3","32.7","0.98"
"CMCSA","Comcast Corp.","45.44","3.7","206,718","16.6","60.7","0.82"
"CME","CME Group, Inc.","200.66","2.3","71,855","39.0","91.4","0.42"
"CMG","Chipotle Mexican Grill, Inc.","782.61","0.0","21,752","70.1","0.0","0.78"
"CMI","Cummins, Inc.","180.03","3.4","28,406","10.9","36.7","1.13"
"CMS","CMS Energy Corp.","62.51","3.0","17,742","28.5","86.1","0.20"
"CNC","Centene Corp.","48.60","0.0","20,110","14.8","0.0","1.17"
"CNP","CenterPoint Energy, Inc.","29.14","4.9","14,634","25.5","125.0","0.37"
"COF","Capital One Financial Corp.","95.17","1.7","44,320","8.4","14.1","1.18"
"COG","Cabot Oil & Gas Corp.","18.11","2.3","7,387","9.5","22.0","0.60"
"COO","The Cooper Cos., Inc.","284.02","0.0","14,080","31.4","0.7","0.87"
"COP","ConocoPhillips","55.68","2.4","61,812","8.9","21.4","1.08"
"COST","Costco Wholesale Corp.","298.94","1.0","131,431","35.9","37.1","0.84"
"COTY","Coty, Inc.","11.79","2.7","8,892","-2.3","-6.2","0.94"
"CPB","Campbell Soup Co.","46.56","3.0","14,023","52.5","157.8","0.35"
"CPRI","Capri Holdings Ltd.","32.42","0.0","4,914","12.1","0.0","1.20"
"CPRT","Copart, Inc.","83.98","0.0","19,504","32.7","0.0","0.93"
"CRM","salesforce.com, inc.","154.79","0.0","120,562","125.4","0.0","1.49"
"CSCO","Cisco Systems, Inc.","47.17","2.9","200,181","17.9","52.5","1.29"
"CSX","CSX Corp.","71.52","1.6","55,616","17.0","28.0","1.08"
"CTAS","Cintas Corp.","271.79","0.8","28,130","31.2","23.5","1.02"
"CTL","CenturyLink, Inc.","12.93","10.0","14,103","-1.7","-17.4","0.96"
"CTSH","Cognizant Technology Solutions Corp.","60.67","1.3","33,507","16.8","22.1","0.91"
"CTVA","Corteva, Inc.","26.77","1.0","20,047","-3.4","-3.3","0.08"
"CTXS","Citrix Systems, Inc.","106.87","1.6","13,989","22.0","35.9","0.62"
"CVS","CVS Health Corp.","65.88","3.0","85,676","18.5","56.0","0.83"
"CVX","Chevron Corp.","118.48","4.0","224,924","15.2","60.3","0.85"
"CXO","Concho Resources, Inc.","65.00","0.6","13,070","25.7","14.8","1.45"
"D","Dominion Energy, Inc.","81.33","4.4","66,846","54.6","240.8","0.22"
"DAL","Delta Air Lines, Inc.","55.17","3.4","35,680","7.7","26.0","1.01"
"DD","DuPont de Nemours, Inc.","67.59","2.2","50,387","55.5","123.2","1.20"
"DE","Deere & Co.","173.35","1.8","54,583","16.6","29.2","1.29"
"DFS","Discover Financial Services","81.43","2.6","25,650","9.2","23.5","1.24"
"DG","Dollar General Corp.","162.64","0.8","41,809","26.0","20.0","0.82"
"DGX","Quest Diagnostics, Inc.","100.39","2.1","13,522","18.6","39.2","0.69"
"DHI","D.R. Horton, Inc.","51.82","1.2","19,164","12.3","14.2","0.72"
"DHR","Danaher Corp.","136.21","0.5","97,837","39.9","19.6","0.92"
"DIS","The Walt Disney Co.","130.53","0.7","235,134","16.4","11.0","0.80"
"DISCA","Discovery, Inc.","27.79","0.0","14,940","9.6","0.0","0.84"
"DISCK","Discovery, Inc.","25.78","0.0","13,859","8.9","0.0","0.82"
"DISH","DISH Network Corp.","34.93","0.0","17,217","11.5","0.0","1.25"
"DLR","Digital Realty Trust, Inc.","132.28","3.2","27,559","121.2","389.4","0.50"
"DLTR","Dollar Tree, Inc.","113.42","0.0","26,838","-17.1","0.0","0.59"
"DOV","Dover Corp.","104.21","1.9","15,138","23.3","43.1","1.04"
"DOW","Dow, Inc.","51.21","4.1","37,972","","","0.12"
"DRE","Duke Realty Corp.","35.25","2.4","12,851","54.7","133.5","0.59"
"DRI","Darden Restaurants, Inc.","111.35","2.9","13,651","19.1","56.0","0.64"
"DTE","DTE Energy Co.","125.68","6.2","23,775","21.0","130.9","0.25"
"DUK","Duke Energy Corp.","94.10","8.0","68,561","20.8","165.7","0.19"
"DVA","DaVita, Inc.","57.84","0.0","9,271","70.2","0.0","1.11"
"DVN","Devon Energy Corp.","21.05","2.0","8,508","2.6","5.3","1.55"
"DXC","DXC Technology Co.","28.09","3.6","7,358","6.6","23.8","1.38"
"EA","Electronic Arts, Inc.","96.72","0.0","28,504","13.5","0.0","1.06"
"EBAY","eBay, Inc.","35.94","1.6","29,238","16.1","25.1","1.00"
"ECL","Ecolab, Inc.","191.59","1.0","55,130","36.9","35.5","0.80"
"ED","Consolidated Edison, Inc.","91.09","4.0","30,254","21.5","86.8","0.20"
"EFX","Equifax, Inc.","136.69","1.1","16,550","-43.1","-49.2","0.89"
"EIX","Edison International","64.56","3.8","23,118","-84.8","-321.8","0.52"
"EL","The Estée Lauder Companies, Inc.","185.71","0.9","67,064","37.8","35.0","1.03"
"EMN","Eastman Chemical Co.","78.15","3.2","10,706","","","1.28"
"EMR","Emerson Electric Co.","70.99","2.8","43,666","20.0","55.1","1.15"
"EOG","EOG Resources, Inc.","71.05","1.4","41,234","11.5","16.4","1.27"
"EQIX","Equinix, Inc.","567.13","1.7","48,103","93.4","159.1","0.56"
"EQR","Equity Residential","87.45","2.6","32,472","40.2","103.2","0.36"
"ES","Eversource Energy","83.85","2.5","27,134","30.9","77.8","0.22"
"ESS","Essex Property Trust, Inc.","323.39","2.4","21,370","52.0","124.0","0.39"
"ETFC","E*TRADE Financial Corp.","41.91","1.7","9,504","10.1","16.9","1.30"
"ETN","Eaton Corp. Plc","87.22","4.0","36,632","16.9","67.7","1.12"
"ETR","Entergy Corp.","118.12","6.2","23,485","22.8","142.3","0.20"
"EVRG","Evergy, Inc.","63.09","3.0","14,855","26.7","80.5","0.15"
"EW","Edwards Lifesciences Corp.","237.09","0.0","49,307","63.9","0.0","1.23"
"EXC","Exelon Corp.","45.60","3.1","44,304","19.4","61.1","0.29"
"EXPD","Expeditors International of Washington, Inc.","75.10","1.3","12,821","20.4","25.8","1.06"
"EXPE","Expedia Group, Inc.","138.09","0.9","20,060","33.3","31.3","0.87"
"EXR","Extra Space Storage, Inc.","112.07","3.1","15,177","33.0","103.7","0.24"
"F","Ford Motor Co.","8.61","7.0","34,139","20.9","145.8","0.87"
"FANG","Diamondback Energy, Inc.","86.60","0.7","14,119","13.8","10.0","1.27"
"FAST","Fastenal Co.","36.83","3.5","21,122","27.0","95.3","1.22"
"FB","Facebook, Inc.","189.40","0.0","540,348","31.9","0.0","1.25"
"FBHS","Fortune Brands Home & Security, Inc.","60.67","1.8","8,486","","","1.21"
"FCX","Freeport-McMoRan, Inc.","10.24","2.0","14,857","-355.6","-694.4","1.63"
"FDX","FedEx Corp.","158.40","1.6","41,328","92.8","152.3","1.36"
"FE","FirstEnergy Corp.","47.27","4.0","25,525","22.7","90.5","0.33"
"FFIV","F5 Networks, Inc.","143.03","0.0","8,634","20.1","0.0","1.21"
"FIS","Fidelity National Information Services, Inc.","130.22","1.3","79,882","56.0","74.0","0.88"
"FISV","Fiserv, Inc.","102.46","0.0","40,264","42.3","0.0","1.00"
"FITB","Fifth Third Bancorp","29.44","3.1","21,155","9.5","29.5","0.96"
"FLIR","FLIR Systems, Inc.","54.77","1.2","7,427","26.8","32.8","0.95"
"FLS","Flowserve Corp.","49.22","1.5","6,456","31.2","48.1","1.56"
"FLT","FleetCor Technologies, Inc.","302.05","0.0","26,147","29.4","0.0","0.99"
"FMC","FMC Corp.","84.03","1.9","10,960","21.6","41.1","1.15"
"FOX","Fox Corp.","32.21","1.4","19,990","12.6","17.9","0.07"
"FOXA","Fox Corp.","32.99","1.4","20,474","12.9","17.9","0.11"
"FRC","First Republic Bank (San Francisco, California)","107.42","0.7","18,070","20.8","14.5","0.93"
"FRT","Federal Realty Investment Trust","138.68","3.0","10,481","42.0","124.5","0.49"
"FTI","TechnipFMC Plc","20.93","3.1","9,344","-4.5","-13.9","1.34"
"FTNT","Fortinet, Inc.","80.31","0.0","13,732","36.7","0.0","1.27"
"FTV","Fortive Corp.","68.64","0.4","23,049","8.9","3.6","1.06"
"GD","General Dynamics Corp.","174.93","2.3","50,608","15.0","34.2","0.92"
"GE","General Electric Co.","9.07","0.4","79,154","-3.7","-1.6","1.21"
"GILD","Gilead Sciences, Inc.","63.73","7.8","80,682","30.2","235.9","0.79"
"GIS","General Mills, Inc.","50.00","3.9","30,219","16.1","62.9","0.36"
"GL","Globe Life, Inc.","96.84","0.7","10,565","14.4","10.1","0.90"
"GLW","Corning, Inc.","30.61","3.2","23,902","17.2","55.0","1.26"
"GM","General Motors Co.","36.64","4.1","52,312","5.8","23.9","1.08"
"GOOG","Alphabet, Inc.","1,290.00","0.0","894,513","27.5","0.0","1.23"
"GOOGL","Alphabet, Inc.","1,288.98","0.0","893,806","27.4","0.0","1.22"
"GPC","Genuine Parts Co.","103.66","2.9","15,061","18.9","55.0","0.73"
"GPN","Global Payments, Inc.","162.20","0.0","48,667","52.7","1.3","1.18"
"GPS","Gap, Inc.","17.20","5.6","6,463","7.0","39.4","1.04"
"GRMN","Garmin Ltd.","87.65","3.8","16,662","22.4","85.4","0.81"
"GS","The Goldman Sachs Group, Inc.","217.75","2.3","78,294","9.6","21.9","1.19"
"GWW","W.W. Grainger, Inc.","316.39","1.8","17,042","18.4","32.5","1.06"
"HAL","Halliburton Co.","20.30","3.5","17,819","15.0","53.0","1.29"
"HAS","Hasbro, Inc.","96.64","3.4","12,201","46.7","159.3","1.03"
"HBAN","Huntington Bancshares, Inc.","14.58","4.9","15,057","11.3","55.7","0.97"
"HBI","Hanesbrands, Inc.","16.01","4.7","5,788","10.3","48.2","1.11"
"HCA","HCA Healthcare, Inc.","126.87","1.2","43,260","12.0","14.6","0.99"
"HCP","HCP, Inc.","36.15","5.1","17,753","17.5","89.7","0.29"
"HD","The Home Depot, Inc.","236.80","2.2","259,331","23.5","50.6","0.93"
"HES","Hess Corp.","66.57","1.5","20,269","-416.1","-625.0","1.57"
"HFC","HollyFrontier Corp.","58.25","2.3","9,586","10.8","24.4","1.40"
"HIG","The Hartford Financial Services Group, Inc.","56.46","2.7","20,414","12.5","33.1","0.71"
"HII","Huntington Ingalls Industries, Inc.","222.69","1.5","9,204","13.8","21.3","1.01"
"HLT","Hilton Worldwide Holdings, Inc.","97.19","0.8","27,423","30.3","23.4","1.00"
"HOG","Harley-Davidson, Inc.","40.35","3.7","6,324","15.6","57.7","1.28"
"HOLX","Hologic, Inc.","47.81","0.0","12,779","-420.1","0.0","0.94"
"HON","Honeywell International, Inc.","172.68","2.4","123,385","19.9","48.2","0.95"
"HP","Helmerich & Payne, Inc.","39.64","9.0","4,337","-58.0","-519.7","1.18"
"HPE","Hewlett-Packard Enterprise Co.","16.43","3.5","21,451","-158.4","-549.7","1.36"
"HPQ","HP, Inc.","17.63","3.6","26,126","6.4","23.4","1.25"
"HRB","H&R Block, Inc.","24.93","4.1","5,003","11.8","48.3","0.62"
"HRL","Hormel Foods Corp.","40.49","2.1","21,620","22.0","45.6","0.46"
"HSIC","Henry Schein, Inc.","62.12","0.0","9,209","19.6","0.0","0.74"
"HST","Host Hotels & Resorts, Inc.","16.70","5.1","12,189","11.3","57.3","0.86"
"HSY","The Hershey Co.","141.15","2.6","29,489","22.5","59.2","0.28"
"HUM","Humana, Inc.","289.37","0.9","39,090","15.7","14.7","0.87"
"IBM","International Business Machines Corp.","135.97","4.7","120,452","15.7","73.7","1.00"
"ICE","Intercontinental Exchange, Inc.","91.60","1.5","51,334","25.7","37.6","0.61"
"IDXX","IDEXX Laboratories, Inc.","266.42","0.0","22,936","56.6","0.0","1.21"
"IEX","IDEX Corp.","159.36","1.2","12,086","28.3","34.2","1.07"
"IFF","International Flavors & Fragrances, Inc.","120.19","2.4","12,833","34.8","85.2","0.75"
"ILMN","Illumina, Inc.","304.06","0.0","44,696","45.9","0.0","1.45"
"INCY","Incyte Corp.","79.86","0.0","17,175","55.8","0.0","0.99"
"INFO","IHS Markit Ltd.","69.70","0.0","27,948","72.6","0.0","0.99"
"INTC","Intel Corp.","56.76","2.7","246,906","13.1","36.1","1.26"
"INTU","Intuit, Inc.","258.61","0.8","67,257","43.2","32.4","1.28"
"IP","International Paper Co.","43.20","5.8","16,970","10.9","63.3","1.13"
"IPG","Interpublic Group of Cos., Inc.","22.17","4.1","8,596","13.1","53.9","0.83"
